,Bedrooms,property_type,location,price,Living area,Kitchen type,Furnished,How many fireplaces?,Garden surface,Terrace surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
210,6,House,1020,"€539,000",390,Installed,Yes,0,346,30,386,2,0,To renovate
211,5,House,1150,"€1,260,000",220,Not installed,No,0,200,22,325,3,No,As new
212,3,House,8790,"€289,000",120,Installed,No,0,0,0,311,3,0,Good
213,5,House,1700,"€299,000",190,USA semi equipped,No,0,0,0,169,2,0,To be done up
214,3,House,1160,"€350,000",104,Not installed,No,0,0,0,55,2,0,To renovate
215,4,House,1540,"€449,000",461,Semi equipped,No,0,0,0,861,3,0,Good
216,4,House,1541,"€449,000",461,Semi equipped,No,0,0,0,861,3,0,Good
217,3,House,1380,"€825,000",260,Installed,No,0,1500,15,1966,4,No,Good
218,2,Apartment,1080,"€230,000",114,USA hyper equipped,No,0,0,13,0,4,0,Just renovated
219,1,Apartment,1050,"€260,000",77,Semi equipped,No,1,0,2,0,0,0,To be done up
220,4,House,1030,"€490,000",150,Hyper equipped,No,0,0,0,65,2,No,As new
221,2,Apartment,1050,"€595,000",130,USA hyper equipped,No,0,0,0,0,2,No,As new
222,1,Apartment,1000,"€649,000",150,Hyper equipped,No,0,0,36,0,0,No,As new
223,2,Chalet,6836,"€99,000",62,Not installed,No,0,94,8,150,4,0,To renovate
224,4,Apartment block,6810,"€215,000",255,Semi equipped,No,0,0,0,0,2,0,Good
225,0,Studio,1050,"€215,000",40,0,No,0,0,5,0,2,0,Just renovated
226,3,Apartment,1030,"€250,000",110,0,No,0,0,0,0,3,0,Good
227,2,Apartment,1000,"€295,000",80,0,No,0,0,4,0,2,0,To be done up
228,2,Apartment,1050,"€440,000",105,0,No,0,0,0,0,2,0,Just renovated
229,2,Apartment,1050,"€495,000",100,0,No,0,0,9,0,2,0,Just renovated
230,3,Ground floor,1040,"€880,000",191,USA hyper equipped,No,0,122,30,0,2,No,As new
231,5,House,3360,"€415,000",182,0,No,0,502,0,597,2,0,Good
232,0,Mixed-use building,1000,"€680,000",190,0,No,0,0,0,80,2,No,To renovate
233,0,Studio,1400,"€65,000",25,Installed,No,0,0,0,0,4,0,To renovate
234,2,Duplex,4500,Make,100,Installed,No,0,0,0,0,2,0,To be done up
235,1,Apartment,6060,"€105,000",54,Installed,No,0,0,10,0,0,0,Good
236,2,Apartment,4101,"€110,000",81,Not installed,No,0,0,0,0,3,No,Good
237,1,House,4400,Make,90,Installed,No,0,0,24,70,2,0,Good
238,3,House,4430,Make,125,Not installed,No,0,0,0,77,2,0,To renovate
239,3,Mixed-use building,4030,"€129,000",156,Not installed,No,0,0,0,71,2,No,To be done up
240,1,Apartment,1400,"€130,000",55,Semi equipped,No,0,8500,7,0,4,0,To renovate
241,2,Town-house,4020,"€130,000",129,Not installed,No,0,0,0,91,2,0,To renovate
242,1,Studio,9000,"€135,000",25,Semi equipped,No,0,0,0,0,2,0,Good
243,1,Apartment,1030,"€139,000",28,Installed,No,0,0,2,0,4,0,Good
244,1,Apartment,1030,"€139,000",30,Installed,No,0,0,0,0,4,0,Good
245,0,Studio,1180,"€139,000",28,Installed,No,0,0,0,0,2,No,Just renovated
246,1,Apartment,4500,Make,60,Semi equipped,No,0,0,0,0,4,No,Good
247,2,Apartment,7160,"€139,000",65,Installed,No,0,0,2,0,2,No,Good
248,2,Duplex,8370,"€139,000",78,Installed,No,0,0,0,0,0,0,Good
249,2,House,9600,"€139,000",130,Installed,No,0,0,0,50,2,0,Good
250,1,Apartment,1831,"€149,000",45,Installed,No,0,0,6,0,2,0,Good
251,3,House,9600,"€149,000",150,Not installed,No,0,20,0,90,2,0,To be done up
252,0,Studio,1170,"€150,000",34,Installed,No,0,0,7,0,2,No,Good
253,1,Apartment,1457,"€150,000",44,Installed,No,0,0,4,0,2,No,Good
254,1,Apartment,1140,"€155,000",60,USA semi equipped,No,0,0,10,0,0,No,To be done up
255,1,Apartment,1457,"€155,000",40,Semi equipped,No,0,0,3,0,2,No,Good
256,2,Apartment,2020,"€155,000",75,Installed,No,0,0,5,0,0,0,Good
257,1,Apartment,8370,"€159,000",51,Installed,Yes,0,0,0,0,2,0,Good
258,5,House,9600,"€159,000",207,Installed,No,0,0,0,160,2,0,To renovate
259,2,Apartment,4500,"€159,500",74,Semi equipped,No,0,0,0,0,2,0,Good
260,1,Apartment,1457,"€160,000",53,Semi equipped,No,0,0,4,0,2,No,Good
261,4,House,4000,"€160,000",165,Not installed,No,0,96,0,183,3,0,To renovate
262,1,Apartment,1457,"€165,000",47,Semi equipped,No,0,0,3,0,2,No,Good
263,2,Apartment,4020,"€165,000",69,USA semi equipped,No,0,0,0,0,2,No,To be done up
264,2,Apartment,1400,"€168,000",72,Semi equipped,No,0,0,15,0,2,0,Good
265,1,Apartment,1070,"€169,000",61,Installed,0,0,0,5,0,2,0,To renovate
266,3,House,4340,"€169,000",120,Not installed,No,0,280,13,484,2,0,To renovate
267,1,Penthouse,9200,"€169,000",65,Semi equipped,Yes,0,0,20,0,3,0,Good
268,1,Apartment,9200,"€169,000",65,Semi equipped,Yes,0,0,20,0,3,0,Good
269,2,Apartment,1000,"€175,000",61,Semi equipped,No,0,0,0,0,3,No,As new
270,1,Apartment,1000,"€175,000",34,Installed,Yes,0,0,1m²squaremeter,0,2,0,Good
271,3,Apartment,4317,"€175,000",120,Semi equipped,No,0,0,0,0,3,0,Good
272,2,House,4430,"€175,000",84,Not installed,No,0,90,11,178,4,0,To renovate
273,1,Apartment,1070,"€179,000",68,USA installed,No,0,500,12,0,2,No,As new
274,2,House,4340,Make,100,Installed,No,0,177,0,260,2,0,Good
275,3,House,4460,Make,150,Hyper equipped,No,0,0,0,134,3,0,Good
276,4,House,9600,"€179,900",140,Installed,No,0,0,0,70,2,No,Just renovated
277,0,Studio,1950,"€180,000",40,Semi equipped,No,0,0,15,0,2,No,To be done up
278,5,House,4800,"€180,000",200,Installed,No,0,122,10,215,2,0,Good
279,2,Apartment,8370,"€180,000",57,Installed,Yes,0,0,0,0,2,0,Good
280,0,Studio,1030,"€185,000",53,Hyper equipped,No,0,0,4,0,2,No,As new
281,3,House,4030,"€185,000",108,Installed,No,0,0,12,70,2,0,Good
282,2,House,4520,Make,85,Installed,No,0,500,20,653,2,0,Good
283,2,Apartment,2100,"€187,000",90,Installed,No,0,0,4,0,2,No,As new
284,2,Apartment,2620,"€189,000",82,Semi equipped,No,0,0,6,0,2,0,As new
285,3,Apartment block,4000,Make,140,Semi equipped,No,0,143,0,192,3,0,To be done up
286,4,House,6690,"€189,000",218,Semi equipped,No,0,475,0,625,3,0,Good
287,2,House,9600,"€189,000",162,Installed,No,0,50,10,170,2,0,Good
288,2,Apartment,1020,"€195,000",87,USA hyper equipped,0,0,0,8,0,2,No,Good
289,3,House,4180,"€195,000",242,Semi equipped,No,0,100,36,475,3,0,Good
290,4,Mixed-use building,9600,"€195,000",201,Not installed,No,0,105,15,370,2,0,To renovate
291,3,Apartment,4500,"€199,000",135,Installed,No,0,0,27,0,4,0,To renovate
292,2,Duplex,8370,"€199,000",87,Installed,No,0,0,0,0,2,0,Good
